Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002398331960042318     4327                     6.959385717190334        8.964586795621983        0.3825970239292562       1.5721902668513983       0                        0                        0.999953025              0.05                     0.09997296267205863      0.12500135229784065      0.01                     0.36580572435632347      2.5e-06                  0.5459134705364704       -8.257356                3.8020148                
400                      0.6294317420985963       1731593                  19.756486960684473       22.65779101864848        0.1533165424881116       1.2050060067922783       0                        0                        0.978361925              0.05                     0.08828863705433874      0.0018500966776628046    0.01                     0.28280191114720177      2.5e-06                  0.1106334869914195       -0.13921584              0.5882816                
800                      1.2603105488088395       3464698                  23.309665578737928       27.182120237401683       0.1533165424881116       1.2050060067922783       0                        0                        0.9567003625             0.05                     0.07793829597577508      0.0013235981181626104    0.01                     0.270302039053705        2.5e-06                  0.12136752446078591      0.050117448              0.51786995               
1200                     1.8987984411584007       5215831                  24.59337149473858        27.615018711344106       0.1533165424881116       1.2050060067922783       0                        0                        0.9348100125000001       0.05000000000000001      0.06871080414327109      0.0012365340960540754    0.01                     0.26425575158175296      2.5e-06                  0.10203620180049364      0.050447535              0.44965696               
1600                     2.5408901943100823       6972771                  24.08582149521398        27.90975359776878        0.1533165424881116       1.2050060067922783       0                        0                        0.9128509874999999       0.05                     0.060551857300424256     0.001438205759849451     0.01                     0.26906169032057126      2.5e-06                  0.14166667024708457      0.017939521              0.43565533               
2000                     3.1850917147927813       8735992                  29.09297965471406        30.72290229974836        0.1533165424881116       1.2050060067922783       0                        0                        0.8908058750000001       0.05000000000000001      0.05333529327620152      0.0013926922948384241    0.01                     0.26442180797457693      2.5e-06                  0.156837610879706        0.05467955               0.4475147                
2400                     3.82692214290301         10494284                 26.594806753738816       32.51426800036869        0.1533165424881116       1.2050060067922783       0                        0                        0.8688291125000001       0.05000000000000001      0.04699728624182099      0.0016003911804599578    0.01                     0.2660070071325582       2.5e-06                  0.11108597549883759      0.1689182                0.40878126               
2800                     4.467531730930011        12250377                 32.87738250835717        36.73277988171721        0.1533165424881116       1.2050060067922783       0                        0                        0.8468758624999999       0.049999999999999996     0.04141805078164779      0.0014785022656296325    0.01                     0.2816965778084362       2.5e-06                  0.136425342695678        0.05811144               0.65643007               
3200                     5.10902353518539         13999215                 30.78554823214396        34.521761378294805       0.1533165424881116       1.2050060067922783       0                        0                        0.8250179875             0.05                     0.036521194093868975     0.001273959779387547     0.01                     0.27601907269822223      2.5e-06                  0.1482906023661296       0.049924344              0.5373974                
3600                     5.750279073251618        15751648                 30.309222579438984       37.11605008452052        0.1533165424881116       1.2050060067922783       0                        0                        0.8031088125             0.05                     0.0321937843976831       0.0015886407953289833    0.01                     0.26443843455875615      2.5e-06                  0.14547511663507012      -0.3149232               0.83798194               
